Month,TOTAL CONSTRUCTION,PRIVATE CONSTRUCTION,RESIDENTIAL BUILDINGS,NEW HOUSING UNITS,1 UNIT,2 OR MORE UNITS,IMPROVEMENTS,NONRESIDENTIAL BUILDINGS,INDUSTRIAL,OFFICE,"HOTELS, MOTELS",OTHER COMMERCIAL,RELIGIOUS,EDUCATIONAL,HOSPITAL AND INSTITUTIONAL,MISCELLANEOUS,FARM NONRESIDENTIAL,PUBLIC UTILITIES,TELECOMMUNICATIONS,RAILROAD,ELECTRIC LIGHT AND POWER,GAS,PETROLEUM PIPELINES,ALL OTHER PRIVATE,PUBLIC CONSTRUCTION,BUILDINGS,HOUSING AND REDEVELOPMENT,INDUSTRIAL,EDUCATIONAL,HOSPITAL,OTHER,HIGHWAYS AND STREETS,MILITARY FACILITIES,CONSERVATION AND DEVELOPMENT,OTHER PUBLIC CONSTRUCTION,SEWER SYSTEMS,WATER SUPPLY FACILITIES,MISCELLANEOUS NONBUILDING
10/1/85,37588,30095,15146,10790,8263,2527,(NA),11702,2213,3879,799,3418,293,210,583,307,(NA),(NA),772,(NA),(NA),(NA),(NA),247,7493,2437,250,118,847,192,1030,2663,234,370,1788,756,220,813
11/1/85,35484,28843,14352,10268,7939,2329,(NA),11345,2084,3767,767,3384,276,194,583,292,(NA),(NA),690,(NA),(NA),(NA),(NA),243,6642,2285,270,122,733,216,945,1992,296,440,1628,723,203,703
12/1/85,32309,26733,12567,8902,6634,2269,(NA),11049,2170,3759,762,3103,259,186,537,274,(NA),(NA),650,(NA),(NA),(NA),(NA),266,5577,2181,253,130,620,207,970,1316,291,361,1427,563,198,666
1/1/86,29283,23968,11286,8378,6194,2184,(NA),9710,1750,3363,643,2800,228,192,485,250,(NA),(NA),612,(NA),(NA),(NA),(NA),258,5316,2100,248,132,622,187,910,1083,282,423,1428,573,204,651
2/1/86,28394,23484,11078,8039,5874,2165,(NA),9460,1764,3217,671,2652,229,174,502,251,(NA),(NA),618,(NA),(NA),(NA),(NA),250,4910,2059,220,143,570,227,897,965,329,328,1229,493,211,525
3/1/86,30846,25471,12958,9379,7036,2343,(NA),9482,1570,3310,662,2699,218,190,559,274,(NA),(NA),696,(NA),(NA),(NA),(NA),207,5375,2236,207,143,640,197,1049,1138,304,369,1328,513,245,569
4/1/86,34102,27774,14551,10245,7707,2538,(NA),10032,1728,3426,724,2871,211,217,600,255,(NA),(NA),777,(NA),(NA),(NA),(NA),201,6327,2433,267,152,732,198,1085,1674,308,408,1504,530,270,704
5/1/86,36788,29600,16477,11408,8640,2768,(NA),9932,1693,3306,769,2873,221,236,574,260,(NA),(NA),763,(NA),(NA),(NA),(NA),164,7188,2468,242,160,806,171,1089,2355,301,382,1681,719,276,687
6/1/86,39378,31372,18019,12543,9646,2897,(NA),10087,1690,3306,780,2989,242,259,557,265,(NA),(NA),835,(NA),(NA),(NA),(NA),163,8006,2677,235,123,984,210,1125,2812,311,377,1829,742,288,799
7/1/86,40508,32075,18805,13159,10287,2872,(NA),10023,1661,3168,795,3075,226,263,563,273,(NA),(NA),826,(NA),(NA),(NA),(NA),161,8433,2814,251,150,1078,212,1122,3004,294,432,1889,776,298,815
8/1/86,41456,32636,18984,13249,10534,2716,(NA),10476,1762,3317,780,3252,267,276,550,272,(NA),(NA),785,(NA),(NA),(NA),(NA),156,8821,2902,286,126,1157,176,1157,3181,342,426,1970,839,319,811
9/1/86,41380,32232,18472,13187,10472,2715,(NA),10551,1791,3281,787,3306,296,244,568,278,(NA),(NA),821,(NA),(NA),(NA),(NA),186,9149,3036,275,170,1127,199,1267,3071,419,639,1984,801,329,854
10/1/86,40824,32668,18382,13016,10164,2852,(NA),11087,2035,3421,828,3291,343,252,590,328,(NA),(NA),880,(NA),(NA),(NA),(NA),186,8156,2723,259,118,995,189,1162,2840,293,360,1940,786,330,824
11/1/86,37245,30290,17136,12230,9600,2630,(NA),10165,1753,3183,740,3057,294,238,590,311,(NA),(NA),749,(NA),(NA),(NA),(NA),183,6955,2656,289,119,925,162,1161,1863,330,406,1701,693,300,708
12/1/86,33249,27302,14530,10337,7978,2358,(NA),9913,1788,3065,727,2898,302,233,612,289,(NA),(NA),745,(NA),(NA),(NA),(NA),158,5947,2425,250,121,820,194,1039,1332,355,376,1459,631,297,531
1/1/87,29490,24030,12787,9485,7402,2084,(NA),8653,1484,2666,680,2481,237,286,563,257,(NA),(NA),587,(NA),(NA),(NA),(NA),155,5460,2376,251,139,717,180,1089,1083,339,389,1273,558,205,510
2/1/87,28821,23577,12211,9004,6969,2035,(NA),8823,1455,2841,732,2468,226,256,573,271,(NA),(NA),612,(NA),(NA),(NA),(NA),166,5245,2280,263,116,706,179,1016,974,231,344,1416,667,242,507
3/1/87,31910,26016,14316,10469,8380,2089,(NA),9029,1396,2922,766,2522,245,316,590,271,(NA),(NA),732,(NA),(NA),(NA),(NA),187,5894,2490,274,151,795,173,1098,1241,322,385,1457,709,222,526
4/1/87,34909,28153,15886,11244,9123,2122,(NA),9538,1473,3002,758,2825,240,315,619,307,(NA),(NA),726,(NA),(NA),(NA),(NA),206,6756,2564,234,103,845,205,1177,1656,281,507,1749,773,324,652
5/1/87,38016,30529,17456,12170,9970,2200,(NA),10285,1773,3044,748,3204,241,391,568,316,(NA),(NA),747,(NA),(NA),(NA),(NA),225,7486,2706,255,140,828,189,1294,2251,364,412,1754,786,368,600
6/1/87,40196,31776,18636,12973,10765,2208,(NA),10297,1801,2956,754,3219,246,398,593,328,(NA),(NA),794,(NA),(NA),(NA),(NA),245,8420,2760,283,119,920,207,1230,2831,360,494,1976,850,363,763
7/1/87,41512,32461,19090,13485,11328,2156,(NA),10561,1812,3080,758,3275,270,402,625,339,(NA),(NA),773,(NA),(NA),(NA),(NA),251,9051,2954,291,110,1064,233,1257,3099,415,521,2062,863,348,851
8/1/87,42517,33391,19319,13590,11411,2179,(NA),11218,1942,3239,775,3627,297,358,633,348,(NA),(NA),848,(NA),(NA),(NA),(NA),235,9126,2941,283,120,1103,255,1180,3262,347,508,2069,911,383,775
9/1/87,43016,33140,18878,13540,11407,2133,(NA),11453,2169,3296,743,3592,288,355,649,361,(NA),(NA),811,(NA),(NA),(NA),(NA),227,9876,3011,301,142,1007,280,1281,3404,504,691,2266,1045,350,871
10/1/87,41662,32796,18632,13271,11110,2161,(NA),11332,1963,3284,753,3593,281,356,722,381,(NA),(NA),853,(NA),(NA),(NA),(NA),233,8865,2808,278,103,978,241,1209,3283,334,401,2040,862,437,741
11/1/87,39501,31724,17533,12685,10626,2059,(NA),11390,1970,3383,730,3544,302,337,755,369,(NA),(NA),816,(NA),(NA),(NA),(NA),254,7776,2678,278,105,867,217,1210,2376,423,435,1863,817,381,664
12/1/87,35092,28400,14907,10751,8725,2026,(NA),10669,1972,3172,742,2992,305,357,726,404,(NA),(NA),896,(NA),(NA),(NA),(NA),243,6692,2648,277,110,796,215,1250,1613,407,445,1579,675,263,642
1/1/88,30102,24642,12952,9538,7783,1755,(NA),9360,1591,2881,660,2609,262,274,704,380,(NA),(NA),578,(NA),(NA),(NA),(NA),191,5460,2344,242,104,752,189,1058,1171,304,278,1362,552,250,560
2/1/88,29667,24211,12350,8945,7218,1728,(NA),9505,1626,2906,664,2669,225,271,750,395,(NA),(NA),701,(NA),(NA),(NA),(NA),160,5456,2389,223,102,780,196,1088,1148,246,282,1391,596,292,503
3/1/88,33888,27491,14698,10546,8798,1748,(NA),10159,1771,3096,698,2878,274,269,796,377,(NA),(NA),794,(NA),(NA),(NA),(NA),158,6396,2701,262,115,881,208,1236,1499,316,362,1518,659,316,543
4/1/88,36469,29279,16194,11250,9520,1730,(NA),10443,1769,3148,705,3170,286,271,723,371,(NA),(NA),689,(NA),(NA),(NA),(NA),171,7191,2822,278,114,1001,219,1210,1939,286,376,1768,757,328,684
5/1/88,39855,31706,17807,12131,10266,1865,(NA),11147,1951,3378,724,3339,279,299,760,417,(NA),(NA),790,(NA),(NA),(NA),(NA),181,8149,3010,271,107,1060,253,1320,2587,260,371,1920,880,397,643
6/1/88,42264,33234,19051,12925,10986,1940,(NA),11424,2038,3447,780,3352,273,312,752,470,(NA),(NA),816,(NA),(NA),(NA),(NA),185,9030,3244,297,126,1202,264,1355,3132,358,417,1879,870,376,634
7/1/88,42725,33425,19630,13331,11363,1967,(NA),11143,1919,3378,700,3410,251,300,720,466,(NA),(NA),794,(NA),(NA),(NA),(NA),174,9300,3146,285,115,1273,227,1247,3449,322,470,1914,808,374,733
8/1/88,44336,34653,20021,13491,11527,1963,(NA),11793,2030,3585,657,3671,290,315,758,488,(NA),(NA),936,(NA),(NA),(NA),(NA),168,9683,3399,270,130,1398,241,1361,3408,295,481,2101,888,377,835
9/1/88,43639,33773,19275,13398,11462,1936,(NA),11693,2065,3377,626,3752,274,333,764,502,(NA),(NA),893,(NA),(NA),(NA),(NA),188,9866,3366,296,169,1309,251,1342,3211,364,696,2228,948,385,895
10/1/88,42492,33557,19172,13248,11259,1989,(NA),11668,2230,3413,658,3477,268,305,831,486,(NA),(NA),833,(NA),(NA),(NA),(NA),191,8936,3000,267,115,1153,235,1231,3257,218,333,2127,952,383,792
11/1/88,40317,32158,18080,12768,10862,1906,(NA),11328,2124,3338,691,3318,294,279,792,493,(NA),(NA),883,(NA),(NA),(NA),(NA),184,8159,2971,319,115,1057,245,1235,2507,285,359,2037,870,433,735
12/1/88,36259,29150,15267,10821,9048,1773,(NA),11192,2091,3359,704,3207,294,285,798,454,(NA),(NA),850,(NA),(NA),(NA),(NA),171,7109,2798,282,103,958,230,1227,1820,325,344,1822,742,408,672
1/1/89,32589,26555,13626,10036,8377,1659,(NA),10383,1984,3207,675,2820,297,260,761,380,(NA),(NA),664,(NA),(NA),(NA),(NA),175,6034,2593,240,55,956,185,1158,1375,240,320,1506,620,362,525
2/1/89,31552,25735,12987,9505,7840,1665,(NA),10100,1865,3156,677,2728,260,272,736,406,(NA),(NA),695,(NA),(NA),(NA),(NA),167,5817,2672,269,90,952,215,1147,1059,239,326,1520,639,258,623
3/1/89,35033,28882,15018,10889,9149,1740,(NA),10971,2016,3443,775,2988,250,303,753,444,(NA),(NA),802,(NA),(NA),(NA),(NA),177,6151,2715,234,124,1009,200,1148,1288,310,340,1498,594,301,603
4/1/89,37490,30252,16535,11628,9742,1886,(NA),10795,2238,3276,743,2846,250,278,754,412,(NA),(NA),743,(NA),(NA),(NA),(NA),181,7238,3042,271,105,1140,208,1317,1829,273,281,1813,765,341,707
5/1/89,41367,32673,18007,12434,10485,1949,(NA),11548,2332,3452,752,3197,282,313,810,410,(NA),(NA),868,(NA),(NA),(NA),(NA),196,8694,3195,303,120,1181,232,1359,2624,325,506,2045,858,356,831
6/1/89,43324,34190,19135,13137,11088,2049,(NA),11964,2512,3446,790,3381,279,376,790,391,(NA),(NA),842,(NA),(NA),(NA),(NA),195,9134,3367,319,127,1345,226,1349,3030,362,448,1928,823,347,758
7/1/89,43711,34471,19708,13627,11542,2086,(NA),11701,2377,3210,803,3461,268,399,773,412,(NA),(NA),774,(NA),(NA),(NA),(NA),198,9240,3505,293,104,1459,220,1429,3037,268,479,1950,898,346,707
8/1/89,45929,35796,19816,13621,11533,2088,(NA),12915,2671,3539,839,3811,306,432,884,434,(NA),(NA),857,(NA),(NA),(NA),(NA),205,10133,3685,330,121,1569,235,1430,3546,317,482,2104,911,402,791
9/1/89,45007,34712,18866,13133,11199,1934,(NA),12853,2840,3498,812,3729,279,367,906,422,(NA),(NA),764,(NA),(NA),(NA),(NA),225,10295,3569,286,165,1402,214,1502,3410,412,729,2175,986,382,807
10/1/89,43817,34558,18573,12763,10872,1891,(NA),12937,2779,3373,855,3986,337,349,826,432,(NA),(NA),843,(NA),(NA),(NA),(NA),245,9259,3351,302,87,1289,245,1428,3174,173,376,2184,962,383,839
11/1/89,41590,32854,17388,12207,10444,1763,(NA),12542,2629,3380,816,3782,372,346,816,401,(NA),(NA),838,(NA),(NA),(NA),(NA),255,8736,3352,303,93,1265,214,1476,2574,305,404,2102,949,384,769
12/1/89,36092,28650,14599,10255,8659,1596,(NA),11244,2543,3137,740,3105,269,295,753,402,(NA),(NA),925,(NA),(NA),(NA),(NA),241,7443,3191,291,111,1130,256,1403,1801,296,407,1748,808,317,623
1/1/90,33059,26353,13170,9589,8125,1465,(NA),10756,2377,2977,760,2876,267,327,784,388,(NA),(NA),630,(NA),(NA),(NA),(NA),241,6706,3014,242,118,1098,227,1329,1455,236,369,1631,686,316,629
2/1/90,32673,26180,12776,9346,7861,1485,(NA),11049,2639,2886,793,2987,236,301,836,371,(NA),(NA),650,(NA),(NA),(NA),(NA),230,6494,3040,237,75,1102,223,1404,1399,189,370,1496,703,268,525
3/1/90,36388,29339,15126,10956,9399,1557,(NA),11505,2639,3016,951,3105,260,324,796,416,(NA),(NA),811,(NA),(NA),(NA),(NA),227,7048,3231,292,146,1127,219,1447,1509,265,380,1663,751,333,579
4/1/90,38895,30957,16447,11388,9761,1627,(NA),11731,2716,2915,954,3259,263,355,829,441,(NA),(NA),759,(NA),(NA),(NA),(NA),217,7938,3471,288,126,1166,276,1615,1980,226,417,1844,858,340,646
5/1/90,42010,32808,17526,11863,10169,1695,(NA),12314,2925,2928,1011,3505,282,366,873,423,(NA),(NA),895,(NA),(NA),(NA),(NA),231,9202,3655,276,92,1275,289,1723,2809,236,447,2055,883,440,732
6/1/90,43659,33739,18248,12212,10524,1688,(NA),12564,2984,3037,974,3478,256,429,954,453,(NA),(NA),823,(NA),(NA),(NA),(NA),244,9920,3934,329,128,1403,245,1829,3122,258,358,2249,890,481,879
7/1/90,44775,34513,18576,12518,10803,1715,(NA),12996,3185,2990,990,3702,307,433,946,443,(NA),(NA),821,(NA),(NA),(NA),(NA),260,10262,3853,322,124,1513,245,1650,3209,268,407,2525,1032,425,1067
8/1/90,46044,34644,18473,12401,10633,1768,(NA),13030,2842,3104,919,3908,356,474,966,461,(NA),(NA),924,(NA),(NA),(NA),(NA),260,11401,4340,321,150,1796,243,1829,3894,233,462,2472,1029,436,1006
9/1/90,43320,32752,17036,11700,10066,1634,(NA),12635,2865,3000,875,3720,380,436,943,417,(NA),(NA),848,(NA),(NA),(NA),(NA),272,10567,4079,325,178,1548,222,1807,3557,204,479,2248,968,474,806
10/1/90,42672,32101,16515,11236,9574,1662,(NA),12374,2938,2896,836,3486,354,413,1031,420,(NA),(NA),959,(NA),(NA),(NA),(NA),269,10571,3768,395,92,1409,235,1638,3916,158,297,2433,996,499,938
11/1/90,39303,29719,14907,10366,8867,1500,(NA),11593,2722,2734,837,3150,319,408,1012,410,(NA),(NA),929,(NA),(NA),(NA),(NA),271,9585,3795,410,95,1376,233,1682,3141,241,348,2060,842,495,723
12/1/90,33979,26195,12302,8561,7105,1456,(NA),10961,2805,2573,780,2870,287,350,900,397,(NA),(NA),755,(NA),(NA),(NA),(NA),235,7784,3436,370,112,1243,204,1506,2114,150,352,1732,639,402,691
1/1/91,29368,22938,10560,7496,6171,1325,(NA),9753,2448,2412,760,2317,261,312,890,352,(NA),(NA),579,(NA),(NA),(NA),(NA),219,6430,3189,299,119,1210,189,1373,1267,151,305,1517,662,357,498
2/1/91,28887,22222,9726,6826,5570,1256,(NA),9712,2544,2320,768,2293,266,299,859,363,(NA),(NA),713,(NA),(NA),(NA),(NA),200,6665,3336,296,89,1265,241,1445,1305,139,348,1537,676,335,526
3/1/91,31191,24010,11196,7771,6474,1298,(NA),9848,2644,2286,776,2324,251,314,910,343,(NA),(NA),710,(NA),(NA),(NA),(NA),204,7181,3460,300,161,1308,210,1480,1552,151,351,1667,746,377,544
4/1/91,34664,26374,12353,8327,7014,1313,(NA),10796,2975,2450,744,2658,277,353,944,397,(NA),(NA),781,(NA),(NA),(NA),(NA),216,8290,3922,290,156,1488,212,1777,2063,148,373,1784,758,386,640
5/1/91,36783,27303,13900,9247,7938,1309,(NA),10068,2543,2297,707,2634,260,378,888,362,(NA),(NA),757,(NA),(NA),(NA),(NA),232,9480,3900,323,130,1557,238,1651,2983,156,430,2012,879,425,707
6/1/91,38435,28519,15268,10146,8832,1314,(NA),9807,2620,2194,501,2567,287,386,870,383,(NA),(NA),767,(NA),(NA),(NA),(NA),242,9915,3997,280,164,1752,236,1565,3227,145,395,2151,833,476,842
7/1/91,39642,29198,15933,10872,9636,1236,(NA),9692,2478,2152,521,2606,304,389,820,422,(NA),(NA),755,(NA),(NA),(NA),(NA),246,10443,4345,307,170,2000,221,1648,3447,123,400,2128,823,435,869
8/1/91,42050,30450,16691,11450,10165,1285,(NA),10092,2646,2172,492,2780,329,381,845,447,(NA),(NA),837,(NA),(NA),(NA),(NA),268,11600,4681,283,196,2085,228,1888,4086,138,464,2231,919,455,858
9/1/91,41028,29659,16172,11428,10162,1266,(NA),9832,2580,2176,510,2598,317,377,862,413,(NA),(NA),737,(NA),(NA),(NA),(NA),296,11369,4506,308,237,1858,253,1850,3699,223,555,2386,1011,443,932
10/1/91,40601,29574,16243,11223,9944,1279,(NA),9622,2676,2021,421,2427,344,370,912,451,(NA),(NA),804,(NA),(NA),(NA),(NA),297,11027,4298,315,133,1720,287,1843,3772,95,458,2405,1065,454,886
11/1/91,37075,27586,15235,10744,9541,1203,(NA),8792,2557,1772,378,2187,325,326,886,362,(NA),(NA),805,(NA),(NA),(NA),(NA),287,9490,3990,308,135,1549,249,1750,2638,149,525,2186,930,457,799
12/1/91,32869,24649,12973,9044,7981,1063,(NA),8556,2714,1701,361,1965,301,310,881,324,(NA),(NA),717,(NA),(NA),(NA),(NA),236,8220,3781,278,135,1411,263,1693,2003,219,406,1811,738,382,691
1/1/92,29773,22278,11689,8391,7355,1037,(NA),7698,2304,1622,283,1787,249,304,875,274,(NA),(NA),636,(NA),(NA),(NA),(NA),237,7495,3672,294,136,1446,235,1562,1541,154,375,1754,754,363,637
2/1/92,29371,21840,11316,8070,7113,957,(NA),7729,2179,1685,296,1837,271,334,837,290,(NA),(NA),592,(NA),(NA),(NA),(NA),228,7531,3799,330,145,1431,279,1615,1490,174,352,1715,702,373,640
3/1/92,33680,25448,13648,9628,8688,940,(NA),8567,2514,1752,310,2032,289,360,968,342,(NA),(NA),664,(NA),(NA),(NA),(NA),241,8232,3923,301,162,1580,259,1621,1608,234,474,1994,756,412,827
4/1/92,36543,27660,15814,10796,9400,1396,(NA),8293,2334,1716,331,1987,277,388,906,354,(NA),(NA),686,(NA),(NA),(NA),(NA),260,8883,4032,321,143,1540,249,1779,2226,188,473,1964,754,363,846
5/1/92,39961,29742,17212,11435,10246,1189,(NA),8772,2468,1639,279,2360,260,383,1012,371,(NA),(NA),751,(NA),(NA),(NA),(NA),304,10219,4273,341,147,1678,282,1824,3044,256,498,2149,728,418,1003
6/1/92,42514,31783,18757,12351,11079,1272,(NA),9196,2468,1764,314,2608,282,455,962,344,(NA),(NA),800,(NA),(NA),(NA),(NA),327,10732,4439,354,158,1802,297,1828,3495,212,517,2068,808,441,819
7/1/92,43204,32180,19094,12632,11549,1083,(NA),9346,2543,1609,315,2877,280,439,958,326,(NA),(NA),780,(NA),(NA),(NA),(NA),346,11024,4683,370,133,2148,303,1728,3530,196,489,2126,775,513,838
8/1/92,44147,32458,19767,12935,11737,1198,(NA),8899,2257,1597,337,2684,289,439,968,327,(NA),(NA),736,(NA),(NA),(NA),(NA),344,11689,4793,393,149,2336,329,1587,3984,202,501,2209,906,499,805
9/1/92,44054,32532,19116,12862,11775,1087,(NA),9571,2475,1666,294,3027,351,420,992,345,(NA),(NA),813,(NA),(NA),(NA),(NA),349,11522,4487,335,213,1909,366,1663,3964,263,723,2085,922,452,711
10/1/92,43387,32882,19312,12844,11758,1086,(NA),9700,2651,1771,323,2836,323,357,1102,338,(NA),(NA),843,(NA),(NA),(NA),(NA),338,10505,4233,365,157,1705,273,1734,3483,202,405,2181,940,471,770
11/1/92,40647,31088,18140,12447,11488,960,(NA),9208,2384,1787,288,2735,332,318,997,367,(NA),(NA),746,(NA),(NA),(NA),(NA),319,9559,3943,376,159,1575,255,1579,2837,216,498,2064,760,427,877
12/1/92,36380,27924,15528,10679,9789,890,(NA),8667,2452,1662,322,2427,284,277,910,333,(NA),(NA),945,(NA),(NA),(NA),(NA),278,8456,3709,359,175,1497,255,1423,1904,205,646,1992,858,432,702
1/1/93,32105,25211,14597,9744,9061,683,(NA),7621,1817,1679,269,2148,273,253,888,296,(NA),(NA),643,(NA),(NA),(NA),(NA),260,6894,3452,340,147,1327,252,1386,1186,199,390,1667,707,348,612
2/1/93,30712,23701,13048,9227,8460,767,(NA),7695,1791,1717,280,2140,258,268,929,312,(NA),(NA),633,(NA),(NA),(NA),(NA),250,7011,3464,369,134,1348,248,1366,1246,193,450,1658,673,328,657
3/1/93,34773,27059,15399,10770,9880,891,(NA),8145,1813,1769,382,2303,314,281,973,311,(NA),(NA),828,(NA),(NA),(NA),(NA),267,7713,3718,354,167,1357,297,1543,1517,233,558,1688,709,324,655
4/1/93,37511,28595,16748,11294,10478,815,(NA),8343,1771,1885,311,2373,322,311,986,386,(NA),(NA),759,(NA),(NA),(NA),(NA),277,8916,4023,411,162,1497,313,1640,2071,215,465,2143,689,461,993
5/1/93,40836,31341,18892,12242,11379,862,(NA),9040,1964,1845,472,2674,311,388,975,412,(NA),(NA),742,(NA),(NA),(NA),(NA),295,9495,3917,368,131,1610,276,1532,2803,203,501,2071,730,524,817
6/1/93,44434,33390,20501,13283,12307,976,(NA),9252,1895,1790,459,2815,301,470,1065,458,(NA),(NA),849,(NA),(NA),(NA),(NA),286,11044,4302,415,120,1839,354,1574,3800,195,517,2231,833,487,911
7/1/93,45179,33922,21219,13975,12958,1017,(NA),9026,1939,1719,395,2662,322,523,1014,452,(NA),(NA),813,(NA),(NA),(NA),(NA),293,11257,4604,343,137,2019,308,1797,3742,212,505,2195,779,455,961
8/1/93,47274,35406,21931,14409,13373,1035,(NA),9742,2042,1773,412,2960,345,577,1119,515,(NA),(NA),835,(NA),(NA),(NA),(NA),261,11868,4714,279,138,2175,334,1787,3965,218,516,2455,825,444,1185
9/1/93,47843,35647,21937,14513,13545,968,(NA),10005,2118,1694,459,3228,395,435,1149,526,(NA),(NA),821,(NA),(NA),(NA),(NA),272,12196,4509,297,180,1715,326,1992,4358,241,746,2342,804,404,1134
10/1/93,46337,35579,22091,14552,13611,941,(NA),9790,2115,1655,400,3156,354,411,1161,539,(NA),(NA),824,(NA),(NA),(NA),(NA),280,10758,4095,290,114,1483,336,1871,3999,159,432,2073,749,457,867
11/1/93,44423,34394,20927,14390,13454,936,(NA),9726,2054,1691,408,3170,352,385,1143,522,(NA),(NA),916,(NA),(NA),(NA),(NA),278,10029,3988,283,118,1420,347,1821,3263,195,432,2152,698,447,1006
12/1/93,39607,30829,17777,12515,11618,897,(NA),9330,2245,1703,318,2826,341,348,1090,460,(NA),(NA),955,(NA),(NA),(NA),(NA),262,8778,3775,263,170,1340,320,1682,2349,191,423,2040,666,407,968
1/1/94,34412,27474,16933,11515,10718,796,(NA),7747,1766,1447,313,2177,279,379,982,404,(NA),(NA),627,(NA),(NA),(NA),(NA),234,6938,3128,237,100,1194,310,1287,1527,211,394,1679,589,333,756
2/1/94,32802,25942,15149,10774,9943,831,(NA),7832,1886,1587,348,2106,270,327,886,421,(NA),(NA),696,(NA),(NA),(NA),(NA),194,6860,3318,220,109,1199,324,1466,1357,128,472,1585,525,259,802
3/1/94,38492,30923,18459,12985,12039,946,(NA),9240,2043,1941,401,2583,294,394,1047,538,(NA),(NA),854,(NA),(NA),(NA),(NA),188,7569,3551,284,142,1263,340,1522,1775,168,403,1672,642,322,708
4/1/94,41691,33296,20246,13915,12892,1024,(NA),9749,2211,1927,464,2913,292,367,1029,547,(NA),(NA),743,(NA),(NA),(NA),(NA),199,8394,3599,295,121,1315,312,1556,2269,169,483,1874,685,345,844
5/1/94,46422,36584,22944,15130,13964,1166,(NA),10414,2467,2040,447,3089,327,427,1085,531,(NA),(NA),811,(NA),(NA),(NA),(NA),239,9838,4013,310,122,1559,329,1692,3293,184,492,1857,666,362,828
6/1/94,49760,38442,24467,16121,14902,1219,(NA),10518,2470,1806,393,3362,325,472,1163,527,(NA),(NA),914,(NA),(NA),(NA),(NA),262,11319,4472,336,121,1793,368,1855,3928,199,523,2197,789,401,1006
7/1/94,50344,38452,24691,16626,15413,1213,(NA),10238,2379,1741,319,3466,315,476,1026,516,(NA),(NA),802,(NA),(NA),(NA),(NA),287,11892,4445,307,108,2030,356,1644,4390,205,538,2314,773,446,1096
8/1/94,52655,39819,25112,16881,15534,1347,(NA),10929,2543,1922,356,3702,381,451,1081,494,(NA),(NA),999,(NA),(NA),(NA),(NA),266,12835,4765,321,120,2274,302,1748,4814,208,550,2498,836,420,1243
9/1/94,52663,39853,24920,16863,15382,1481,(NA),11234,2717,2005,374,3842,355,402,999,541,(NA),(NA),882,(NA),(NA),(NA),(NA),280,12810,4675,358,166,2061,338,1753,4456,256,916,2507,895,480,1132
10/1/94,50815,38881,24303,16317,14969,1348,(NA),11012,2712,1877,378,3785,367,379,991,524,(NA),(NA),878,(NA),(NA),(NA),(NA),270,11934,4629,406,112,2070,306,1735,4279,152,490,2384,798,525,1061
11/1/94,47528,37043,22577,15758,14368,1390,(NA),11027,2914,2048,423,3382,339,384,1022,516,(NA),(NA),943,(NA),(NA),(NA),(NA),255,10485,4459,370,119,1880,319,1771,3165,196,512,2153,777,397,979
12/1/94,41608,32289,18760,13505,12185,1320,(NA),10344,2840,1837,434,3143,326,364,956,443,(NA),(NA),973,(NA),(NA),(NA),(NA),217,9318,4391,391,126,1723,348,1804,2165,243,590,1928,726,358,845
1/1/95,37757,29839,17614,12267,11061,1206,(NA),9398,2339,1882,453,2763,284,349,901,426,(NA),(NA),765,(NA),(NA),(NA),(NA),207,7917,3998,351,125,1628,308,1586,1536,220,455,1709,623,362,724
2/1/95,35632,27965,15542,11297,10079,1219,(NA),9842,2582,1908,478,2892,296,365,928,394,(NA),(NA),728,(NA),(NA),(NA),(NA),200,7667,3966,333,125,1641,320,1547,1394,178,473,1657,589,365,703
3/1/95,40903,32154,18339,12955,11549,1406,(NA),10673,2691,2078,619,3257,296,389,907,437,(NA),(NA),929,(NA),(NA),(NA),(NA),224,8749,4258,356,136,1745,336,1685,1836,282,561,1813,674,335,804
4/1/95,43551,33889,19316,13246,11843,1403,(NA),11026,2932,2152,476,3264,340,432,945,485,(NA),(NA),912,(NA),(NA),(NA),(NA),244,9662,4470,373,130,1804,366,1797,2311,223,503,2155,671,375,1109
5/1/95,47895,36758,21514,13987,12472,1515,(NA),11634,3057,2414,553,3373,369,453,955,459,(NA),(NA),901,(NA),(NA),(NA),(NA),288,11137,4860,383,125,1996,383,1972,3317,246,511,2203,716,380,1107
6/1/95,50986,38599,22503,14656,13153,1503,(NA),12072,3081,2243,569,3861,367,564,880,508,(NA),(NA),1060,(NA),(NA),(NA),(NA),288,12387,5397,440,118,2408,369,2063,3819,263,571,2338,836,407,1095
7/1/95,51238,38932,22748,15419,13826,1593,(NA),12174,3129,2325,568,3796,385,586,902,483,(NA),(NA),991,(NA),(NA),(NA),(NA),347,12307,5285,397,123,2617,356,1792,4099,256,549,2119,695,431,993
8/1/95,53603,39936,23467,16150,14455,1696,(NA),12296,3053,2286,588,3902,415,624,924,503,(NA),(NA),1023,(NA),(NA),(NA),(NA),349,13666,5618,419,123,2862,314,1901,4836,262,646,2304,761,450,1094
9/1/95,53603,40071,23430,16274,14665,1609,(NA),12566,3233,2183,607,4109,419,495,971,551,(NA),(NA),946,(NA),(NA),(NA),(NA),353,13532,5574,431,180,2612,437,1914,4400,361,757,2440,769,387,1284
